Favorite,Id,Coin,Buy,Price,1h,24h,7d,30d,Volume in 24h,MarketCapitalization,FDV,FDVCapitalization,VariationGraph
,4588.0,CropBytes  CBX,,"R$ 0,005889",4.6%,59.7%,29.8%,13.8%,"R$ 3.375,25",R$ 1.892.129,R$ 2.944.543,64.0,
,4585.0,Gondola  GONDOLA,,"R$ 0,054502",0.6%,5.2%,28.3%,26.2%,"R$ 17.574,35",R$ 1.893.883,R$ 1.893.883,10.0,
,4612.0,EnviDa  EDAT,,"R$ 0,1874",6.3%,5.5%,2.6%,11.1%,R$ 624.297,R$ 1.887.008,R$ 8.091.520,23.0,
,4586.0,Restaked BTC.b  RBTC.B,,R$ 478.841,-,-,-,-,"R$ 1.943,56",R$ 1.837.786,R$ 1.763.198,10.0,
,4587.0,Monai  MONAI,,"R$ 0,06877",0.1%,10.9%,17.9%,24.9%,R$ 329.971,R$ 1.886.128,R$ 6.402.294,29.0,
,4589.0,Gekko AI by Virtuals  GEKKO,,"R$ 0,001876",0.4%,16.1%,4.1%,24.7%,"R$ 47.270,14",R$ 1.881.312,R$ 1.881.312,10.0,
,4590.0,ELYFI  ELFI,,"R$ 0,03684",0.3%,2.0%,0.9%,8.0%,"R$ 5.045,83",R$ 1.881.053,R$ 3.694.894,51.0,
,4591.0,EurocoinToken  ECTE,,"R$ 0,3455",0.6%,7.4%,0.7%,4.8%,R$ 214.793,R$ 1.879.016,R$ 34.549.998,5.0,
,4592.0,decapitaltoken  DCT,,"R$ 0,4542",0.2%,0.5%,4.1%,10.5%,"R$ 105,22",R$ 1.874.604,R$ 1.874.604,10.0,
,4599.0,Ramon  RAMON,,"R$ 0,002083",1.0%,7.3%,8.8%,70.2%,"R$ 1.165,30",R$ 1.874.252,R$ 2.082.502,9.0,
,4598.0,WOOF  WOOF,,"R$ 0,0001049",0.9%,9.2%,3.1%,2.6%,"R$ 14.342,53",R$ 1.873.604,R$ 1.873.604,10.0,
,4593.0,MineTard AI  MTARD,,"R$ 0,001871",1.0%,4.9%,11.8%,58.8%,"R$ 22.328,32",R$ 1.874.036,R$ 1.874.036,10.0,
,4595.0,FAME- Rumble Kong League  $FAME,,"R$ 0,001366",0.3%,1.7%,25.6%,-,"R$ 3.903,31",R$ 1.869.463,R$ 9.552.675,2.0,
